: прологъ:NOUN,прологъ
: цѣломоудрьно:ADJ,цѣломѫдрьно
: да:SCONJ,да
: начьноу:PROPN,начѧти
: пьсати:VERB,пьсати
: твоꙗ:DET,твои
: прѣдивьнаꙗ:ADJ,прѣдивьнъ
: зѣло:ADV,ꙃѣло
: шестькрилатъ:VERB,шестькрилатъ
: силоу:NOUN,сила
: въсприимъ:VERB,въсприѩти
: шьствоую:VERB,шьствовати
: по:ADP,по
: слѣдоу:NOUN,слѣдъ
: оучителю:NOUN,оучитель
: єю:INTJ,и
: и:CCONJ,и
: дѣлоу:NOUN,дѣло
: послѣдоуꙗ:VERB,послѣдовати
: ꙗвѣ:CCONJ,ꙗвѣ
: сътворю:VERB,сътворити
: еваньгельско:ADJ,евангельскъ
: слово:NOUN,слово
: хвалоу:NOUN,хвала
: въздаꙗ:VERB,въздаꙗти
: тр҃ци:NOUN,троица
: въ:ADP,въ
: б҃жьтвѣ:NOUN,божьство
: юже:ADV,иже
: поєть:NOUN,пѣти
: вьсѧкъи:ADJ,вьсꙗкъ
: въздрастъ:NOUN,въздрастъ
: юнъ:ADJ,юнъ
: и:CCONJ,и
: старъ:NOUN,старъ
: своимь:DET,свои
: разоумомь:NOUN,разоумъ
: новъ:ADJ,новъ
: хвалоу:NOUN,хвала
: въздаꙗ:VERB,въздаꙗти
: присно:ADJ,присно
: о҃цоу:NOUN,отьць
: с҃ноу:NOUN,сꙑнъ
: и:CCONJ,и
: дх҃оу:NOUN,доухъ
: ємоуже:PRON,иже
: чьсть:NOUN,чьсть
: и:CCONJ,и
: дрьжава:NOUN,дрьжава
: и:CCONJ,и
: слава:NOUN,слава
: отъ:ADP,отъ
: всеꙗ:DET,вьсь
: твари:NOUN,тварь
: и:CCONJ,и
: въ:ADP,въ
: всѧ:DET,вьсь
: и:CCONJ,и
: на:ADP,на
: аминъ:INTJ,аминъ
: добро:ADJ,добро
: єсть:VERB,бꙑти
: отъ:ADP,отъ
: б҃а:NOUN,богъ
: начинати:VERB,начинати
: и:CCONJ,и
: до:ADP,до
: б҃а:NOUN,богъ
: коньчавати:VERB,коньчавати
: ꙗкоже:SCONJ,ꙗкоже
: рече:VERB,рещи
: етеръ:DET,етеръ
: б҃ословьць:NOUN,богословьць
: григоръ:PROPN,григоръ
: и:CCONJ,и
: въ:ADP,въ
: законѣ:NOUN,законъ
: г҃и:NOUN,господь
: пооучати:VERB,пооучати
: дьнь:NOUN,дьнь
: и:CCONJ,и
: нощь:NOUN,нощь
: ꙗкоже:ADV,ꙗкоже
: рече:VERB,рещи
: пророкъ:NOUN,пророкъ
: и:CCONJ,и
: раздаꙗти:VERB,раздаꙗти
: словеса:NOUN,слово
: г҃нѧ:ADJ,господьнь
: трѣбоующамъ:VERB,трѣбовати
: д҃шамъ:NOUN,доуша
: ꙗкоже:ADV,ꙗкоже
: рече:VERB,рещи
: и:CCONJ,и
: не:ADV,не
: потаихъ:VERB,потаити
: милости:NOUN,милость
: твоєа:DET,твои
: ни:CCONJ,ни
: твоєꙗ:DET,твои
: отъ:ADP,отъ
: събора:NOUN,съборъ
: мънога:ADJ,мъногъ
: и:CCONJ,и
: възвѣщоу:NOUN,възвѣстити
: имѧ:NOUN,имѧ
: твоє:DET,твои
: братии:NOUN,братиꙗ
: моєи:DET,мои
: посрѣдѣ:ADP,посрѣдѣ
: же:ADV,же
: цр҃кве:NOUN,црькꙑ
: въсхвалю:VERB,въсхвалити
: тѧ:PRON,тꙑ
: сего:PRON,сь
: ради:ADP,ради
: и:ADV,и
: азъ:PRON,азъ
: константинъ:PROPN,константинъ
: къ:ADP,къ
: вамъ:PRON,вꙑ
: братиє:NOUN,братиꙗ
: моꙗ:DET,мои
: о҃ци:NOUN,отьць
: же:ADV,же
: и:CCONJ,и
: с҃нове:NOUN,сꙑнъ
: аще:SCONJ,аще
: и:ADV,и
: грꙋбѣ:NOUN,грѫбъ
: нъ:CCONJ,нъ
: хощоу:NOUN,хотѣти
: мало:ADV,мало
: бесѣдовати:VERB,бесѣдовати
: и:CCONJ,и
: не:ADV,не
: зазьрите:VERB,зазьрѣти
: мънѣ:ADV,азъ
: обрѣтаю:VERB,обрѣтати
: бо:NOUN,бо
: и:CCONJ,и
: осьла:NOUN,осьлъ
: валаамлꙗ:ADJ,валаамль
: инъгда:ADV,иногда
: прог҃лавъша:VERB,проглаголати
: чл҃чьскъмь:ADJ,чловѣчьскъ
: гласъмь:NOUN,гласъ
: и:CCONJ,и
: камене:NOUN,камꙑ
: соуха:ADJ,соухъ
: водоу:NOUN,вода
: источьша:VERB,источити
: жажоущиимъ:NOUN,жѧдати
: възвеличиша:VERB,възвеличити
: бо:ADV,бо
: дѣла:NOUN,дѣло
: г҃нꙗ:ADJ,господьнь
: въ:ADP,въ
: всѣхъ:DET,вьсь
: тѣмьже:ADV,тѣмьже
: и:CCONJ,и
: оуничьжениє:NOUN,оуничьжениє
: моє:PRON,мои
: оубѣждено:VERB,оубѣдити
: съказаниє:NOUN,съказаниє
: с҃тааго:ADJ,свѧтъ
: еван҃глиꙗ:NOUN,евангелиє
: прѣложити:NOUN,прѣложити
: отъ:ADP,отъ
: грьчьска:ADJ,грьчьскъ
: ꙗзыка:NOUN,ѩзꙑкъ
: въ:ADP,въ
: словѣньскъ:ADJ,словѣньскъ
: оубоꙗхъ:VERB,оубоꙗти
: же:ADV,же
: начати:NOUN,начѧти
: стръпътьноє:ADJ,стръпътьнъ
: словесъ:NOUN,слово
: видѣвъ:VERB,видѣти
: недооумѣниꙗ:NOUN,недооумѣниє
: и:CCONJ,и
: силъ:NOUN,сила
: моєꙗ:DET,мои
: соуще:NOUN,бꙑти
: нъ:CCONJ,нъ
: съмрьти:NOUN,съмрьть
: зьрѧ:VERB,зьрѣти
: боудоущаꙗ:VERB,бꙑти
: за:ADP,за
: ослоушаниє:NOUN,ослоушаниє
: начахъ:VERB,начѧти
: не:ADV,не
: вьсего:PRON,вьсь
: написати:VERB,напьсати
: нъ:CCONJ,нъ
: оуставлєнаꙗ:VERB,оуставити
: недѣльна:ADJ,недѣльнъ
: єван҃глиꙗ:NOUN,евангелиє
: г҃ь:NOUN,господь
: просѧ:VERB,просити
: х҃олюбьць:NOUN,христолюбьць
: вьсѣхъ:DET,вьсь
: на:ADP,на
: поспѣшениє:NOUN,поспѣшениє
: да:ADV,да
: съподобить:VERB,съподобити
: мѧ:PRON,азъ
: обьщьи:ADJ,обьщь
: б҃ъ:NOUN,богъ
: и:CCONJ,и
: г҃ь:NOUN,господь
: нашь:DET,нашь
: ї҃су:PROPN,исоусъ
: х҃ъ:PROPN,христосъ
: до:ADP,до
: коньца:NOUN,коньць
: съврьшити:VERB,съврьшити
: обѣщаниє:NOUN,обѣщаниє
: въ:ADP,въ
: славоу:NOUN,слава
: б҃а:NOUN,богъ
: о҃ца:NOUN,отьць
: с҃на:NOUN,сꙑнъ
: и:CCONJ,и
: прѣс҃тго:ADJ,прѣсвѧтъ
: д҃ха:NOUN,доухъ
: аминь::INTJ,аминъ
