: неⷣ҇:NUM,недѣлꙗ
: нбⷭ҇коє:ADJ,небесьскъ
: и:CCONJ,и
: ноуждьнии:ADJ,ноуждьнъ
: възимають:VERB,възимати
: не:ADV,не
: инѣмь:DET,инъ
: ноудимї:VERB,ноудити
: нъ:CCONJ,нъ
: и:ADV,и
: ср҃дчьною:ADJ,срьдьчьнъ
: волею:NOUN,волꙗ
: нъ:CCONJ,нъ
: и:ADV,и
: надъ:ADP,надъ
: прѣдълежꙗщеє:VERB,прѣдълежати
: и:CCONJ,и
: послоушаимъ:VERB,послоушати
: златооустаго:ADJ,златооустъ
: сего:DET,сь
: чьто:PRON,чьто
: хощеть:VERB,хотѣти
: бесѣдовати:VERB,бесѣдовати
: рече:VERB,рещи
: евнглⷭ҇тъ⁖:NOUN,евангелистъ
: рожьства:NOUN,рождьство
: і҃сх҃ва:ADJ,исоухристовъ
: сего:PRON,сь
: ради:ADP,ради
: си:PRON,сь
: рече:VERB,рещи
: зане:SCONJ,занє
: вьсего:DET,вьсь
: съмотрениꙗ:NOUN,съмотрєниє
: глава:NOUN,глава
: си:DET,сь
: соуть:NOUN,бꙑти
: и:CCONJ,и
: начатъкъ:NOUN,начѧтъкъ
: и:CCONJ,и
: кⷪ҇рень:NOUN,корень
: всѣхъ:DET,вьсь
: бл҃гъ:ADJ,благъ
: имꙗ:VERB,имѧ
: же:ADV,же
: і҃с:PROPN,исоусъ
: х҃во:ADJ,христовъ
: нѣсть:VERB,не
: ни:CCONJ,ни
: ни:CCONJ,ни
: нъ:CCONJ,нъ
: съказаемо:VERB,съказати
: есть:AUX,бꙑти
: сп҃съ:NOUN,съпасъ
: сп҃съ:NOUN,съпасъ
: же:ADV,же
: зане:SCONJ,занє
: сп҃се:VERB,съпасти
: люди:NOUN,людиє
: своѧ:DET,свои
: почьто:ADV,почьто
: же:ADV,же
: не:PRON,не
: рече:VERB,рещи
: с҃на:NOUN,сꙑнъ
: аврамⷧ҇ѧ:ADJ,авраамль
: нъ:CCONJ,нъ
: прьвѣе:ADV,прьвѣє
: рече:VERB,рещи
: не:ADV,не
: ѧкоже:ADV,ꙗкоже
: єже:ADV,иже
: єтери:NOUN,етеръ
: мнꙗть:NOUN,мьнѣти
: из:ADV,изъ
: низоу:ADV,низоу
: въиспрь:ADV,вꙑспрь
: хотꙗ:VERB,хотѣти
: възити:VERB,възити
: нъ:CCONJ,нъ
: зане:SCONJ,занє
: въ:ADP,въ
: оустѣхъ:NOUN,оуста
: всѣхъ:DET,вьсь
: бѣ:AUX,бꙑти
: д҃вдъ:PROPN,давꙑдъ
: и:CCONJ,и
: оⷮ:INTJ,отъ
: црⷭ҇ва:NOUN,цѣсарьство
: и:CCONJ,и
: ѿ:NUM,отъ
: ближичьстⷡа:NOUN,ближичьство
: не:ADV,не
: бѣ:AUX,бꙑти
: бо:ADV,бо
: давьно:ADJ,давьно
: оумрълъ:VERB,оумрѣти
: ꙗкоже:SCONJ,ꙗкоже
: аврамъ:PROPN,авраамъ
: чсо:PRON,чьто
: ради:ADP,ради
: помѧноувъ:VERB,помѧнѫти
: аврама:PROPN,авраамъ
: и:CCONJ,и
: рекъ:VERB,рещи
: ꙗко:SCONJ,ꙗко
: роди:VERB,родити
: исака:PROPN,исаакъ
: исакъ:PROPN,исаакъ
: иѧкова:PROPN,иꙗковъ
: иѧковъ:ADJ,иꙗковъ
: июдю:PROPN,июда
: и:CCONJ,и
: братью:NOUN,братиꙗ
: его:PRON,и
: не:ADV,не
: помѧнꙋ:VERB,помѧнѫти
: исаава:PROPN,исаавъ
: ѧко:PROPN,ꙗко
: брата:NOUN,братъ
: соуща:NOUN,бꙑти
: иѧковлꙗ:ADJ,иꙗковль
: етери:PRON,етеръ
: же:ADV,же
: г҃лть:NOUN,глаголати
: ѧко:ADV,ꙗко
: лоукавьства:NOUN,лѫкавьство
: ради:ADP,ради
: єго:NOUN,и
: нѣсть:VERB,не
: же:ADV,же
: тако:PRON,тако
: зане:ADV,занє
: и:ADV,и
: поминаеть:VERB,поминати
: нъ:CCONJ,нъ
: зане:SCONJ,занє
: никоуюже:DET,никꙑиже
: обьщиноу:NOUN,обьщина
: имѣꙗхоу:VERB,имѣти
: съ:ADP,съ
: срацини:NOUN,сарацинъ
: бо:ADV,бо
: и:CCONJ,и
: аравии:PROPN,аравинъ
: измаилитѣне:NOUN,измаилитѣнинъ
: бѣшꙗ:AUX,бꙑти
: въноуци:VERB,въноукъ
: исавови:PROPN,исаавовъ
: сего:PRON,сь
: ради:ADP,ради
: ѡ:ADP,о
: тѣхъ:PRON,тъ
: оумълъчавъ:VERB,оумльчати
: июдовꙋ:ADJ,июдовъ
: братиѫ:NOUN,братиꙗ
: поминаеть:VERB,поминати
: ꙗко:SCONJ,ꙗко
: отъ:ADP,отъ
: того:PRON,тъ
: родъ:NOUN,родъ
: жидовьскъ:ADJ,жидовьскъ
: почьто:ADV,почьто
: же:ADV,же
: и:ADV,и
: инѣхъ:DET,инъ
: прадѣдъ:NOUN,прадѣдъ
: не:ADV,не
: помꙗнꙋ:VERB,помѧнѫти
: къ:ADP,къ
: жидомъ:NOUN,жидъ
: бо:ADV,бо
: написано:VERB,напьсати
: евн҃глие:NOUN,евангелиє
: се:DET,сь
: сиѧ:PRON,сь
: бо:ADV,бо
: бѣсте:AUX,бꙑти
: дивлѧемаѧ:VERB,дивити
: овъ:DET,овъ
: ѧко:ADV,ꙗко
: прⷪ҇ркъ:NOUN,пророкъ
: и:CCONJ,и
: цⷭ҇рь:NOUN,цѣсарь
: овъ:PRON,овъ
: же:ADV,же
: ꙗко:ADV,ꙗко
: патриархъ:NOUN,патриархъ
: и:CCONJ,и
: прⷪ҇ркъ:NOUN,пророкъ
: чимь:PRON,чьто
: же:ADV,же
: ѧко:SCONJ,ꙗко
: ѿ:ADP,отъ
: дв҃да:PROPN,давꙑдъ
: есть:AUX,бꙑти
: х҃съ:PROPN,христосъ
: аще:SCONJ,аще
: отъ:ADP,отъ
: моужа:NOUN,мѫжь
: не:ADV,не
: роди:VERB,родити
: нъ:CCONJ,нъ
: отъ:ADP,отъ
: тъчью:ADV,тъчиѭ
: ꙗже:PRON,иже
: не:ADV,не
: имьже:PRON,иже
: рече:VERB,рещи
: богъ:NOUN,богъ
: къ:ADP,къ
: гаврилоу:PROPN,гавриилъ
: иди:VERB,ити
: къ:ADP,къ
: дѣвѣ:NOUN,дѣва
: ѡброученѣи:VERB,обрѫчити
: моужеви:PROPN,мѫжь
: емоуже:PRON,иже
: имꙗ:VERB,имѧ
: єсть:VERB,бꙑти
: иѡсифъ:PROPN,иосифъ
: из:ADP,из
: домоу:NOUN,домъ
: и:CCONJ,и
: отьчьства:NOUN,отьчьство
: велꙗше:VERB,велѣти
: законъ:NOUN,законъ
: не:ADV,не
: изиноудоу:NOUN,изинѫдоу
: нъ:CCONJ,нъ
: отъ:ADP,отъ
: того:DET,тъ
: колѣна:NOUN,колѣно
: не:ADV,не
: ѿ:VERB,отъ
: того:DET,тъ
: колѣна:NOUN,колѣно
: тъчью:ADV,тъчиѭ
: нъ:CCONJ,нъ
: отъ:ADP,отъ
: того:DET,тъ
: отьчьства:NOUN,отьчьство
: и:CCONJ,и
: южичьства:NOUN,ѫжичьство
: понеже:SCONJ,понєже
: оубо:ADV,оубо
: не:ADV,не
: жидовьскъ:ADJ,жидовьскъ
: родъ:NOUN,родъ
: чисти:VERB,чисти
: да:SCONJ,да
: съхранить:VERB,съхранити
: родочьте:NOUN,родочисти
: иѡсифа:PROPN,иосифъ
: ѡброученика:NOUN,обрѫченикъ
: еѧ:PRON,и
: и:CCONJ,и
: показа:VERB,показати
: оба:NUM,оба
: соуща:NOUN,бꙑти
: из:ADP,из
: домоу:NOUN,домъ
: двⷣ҇а:NOUN,давꙑдовъ
: помѧнꙋ:VERB,помѧнѫти
: же:ADV,же
: и:ADV,и
: безаконьнаго:ADJ,безаконьнъ
: сънѧтьѧ:NOUN,сънѧтиє
: да:ADV,да
: покажеть:VERB,показати
: чл҃колюбиє:NOUN,чловѣколюбиє
: ꙗко:SCONJ,ꙗко
: изволилъ:VERB,изволити
: и:PRON,и
: имѣти:NOUN,имѣти
: никдеже:ADV,никъдеже
: не:ADV,не
: о:ADP,о
: нашеи:DET,нашь
: злобѣ:NOUN,зълоба
: и:CCONJ,и
: оуча:NOUN,оучити
: не:ADV,не
: о:ADP,о
: дѣдьни:ADJ,дѣдьнь
: злобѣ:NOUN,зълоба
: нъ:CCONJ,нъ
: единого:NUM,єдинъ
: тъчью:ADV,тъчиѭ
: искати:NOUN,искати
: еже:DET,иже
: изволити:VERB,изволити
: доброу:ADJ,добръ
: дѣтель:NOUN,дѣтѣль
: чьсо:PRON,чьто
: ради:ADP,ради
: фарєса:NOUN,фаресъ
: помꙗноувъ:VERB,помѧнѫти
: ѿ:ADP,отъ
: негоже:PRON,иже
: хотѣ:VERB,хотѣти
: г҃а:NOUN,господь
: родочисти:ADJ,родочисти
: и:PRON,и
: на:ADP,на
: зара:NOUN,зара
: помꙗноу:VERB,помѧнѫти
: ѧко:SCONJ,ꙗко
: єⷧ҇зарю:NOUN,зара
: отъ:ADP,отъ
: роукоу:NOUN,рѫка
: прьвѣє:ADV,прьвѣє
: изнесе:VERB,изнести
: и:PRON,и
: изиде:VERB,изити
: фареса:NOUN,фаресъ
: и:CCONJ,и
: потомь:ADV,потомь
: и:ADV,и
: зара:NOUN,зара
: еже:PRON,иже
: обоимъ:NUM,обои
: людьмъ:NOUN,людиє
: образъ:NOUN,образъ
: бѣ:AUX,бꙑти
: цр҃квьнꙋоумоу:ADJ,црькъвьнъ
: при:ADP,при
: аврамѣ:PROPN,авраамъ
: ꙗвленоу:VERB,ꙗвлꙗти
: потомь:ADV,потомь
: придошꙗ:VERB,прити
: людиє:NOUN,людиє
: жидовьстии:ADJ,жидовьскъ
: и:CCONJ,и
: законьное:ADJ,законьнъ
: житиє:NOUN,житиє
: и:CCONJ,и
: потомь:ADV,потомь
: новиї:ADJ,новъ
: людие:NOUN,людиє
: ѧвиша:VERB,ꙗвити
: съ:ADP,съ
: законъмь:NOUN,законъ
: своимь:DET,свои
: и:CCONJ,и
: роуфоу:PROPN,роуѳъ
: же:ADV,же
: иноплеменьни:ADJ,иноплеменьнъ
: помꙗноу:VERB,помѧнѫти
: зане:SCONJ,занє
: ѧкоже:ADV,ꙗкоже
: воозъ:NOUN,воозъ
: не:ADV,не
: на:ADP,на
: ню:PRON,и
: нищю:ADJ,нищь
: иноплеменьницю:NOUN,иноплеменьница
: соущꙋ:NOUN,бꙑти
: такожде:ADV,такожде
: и:ADV,и
: хъ:PRON,христосъ
: приимъ:VERB,приѩти
: цр҃къвь:NOUN,црькꙑ
: иноплеменьницю:NOUN,иноплеменьница
: и:CCONJ,и
: зѣло:ADV,ꙃѣло
: нищю:ADJ,нищь
: соуща:NOUN,бꙑти
: обьщьни:ADJ,обьщьнъ
: ю:ADP,и
: приѧтъ:VERB,приѩти
: въ:ADP,въ
: велицѣ:ADJ,великъ
: блазѣ:NOUN,благо
: ꙗкоже:SCONJ,ꙗкоже
: и:ADV,и
: роуфь:PROPN,роуѳъ
: аще:SCONJ,аще
: не:ADV,не
: прьвѣе:ADV,прьвѣє
: оставила:VERB,оставити
: о҃ца:NOUN,отьць
: и:CCONJ,и
: бєщьствовала:VERB,бещьствовати
: домъ:NOUN,домъ
: и:CCONJ,и
: родъ:NOUN,родъ
: и:CCONJ,и
: отьчьство:NOUN,отьчьство
: и:CCONJ,и
: южичьство:NOUN,ѫжичьство
: не:ADV,не
: оулоучила:VERB,оулоучити
: южичьства:NOUN,ѫжичьство
: сего:DET,сь
: такожде:ADV,такожде
: и:ADV,и
: о҃ча:ADJ,отьчь
: оставльши:VERB,оставити
: тогда:ADV,тогда
: женисѣ:NOUN,женихъ
: еще:ADV,єще
: же:ADV,же
: и:ADV,и
: да:ADV,да
: срамить:VERB,срамити
: да:ADV,да
: не:ADV,не
: величать:VERB,величати
: си:PRON,сь
: въ:ADP,въ
: средоу:NOUN,срѣда
: въложивъ:VERB,въложити
: цⷭ҇рꙗ:NOUN,цѣсарь
: бо:ADV,бо
: великаго:ADJ,великъ
: дⷡ҇да:NOUN,давꙑдъ
: сїꙗ:PRON,сь
: въ:ADP,въ
: средоу:NOUN,срѣда
: родиша:VERB,родити
: и:CCONJ,и
: не:ADV,не
: ими:PRON,и
: д҃вдъ:PROPN,давꙑдъ
: нѣсть:VERB,не
: ни:CCONJ,ни
: доброю:ADJ,добръ
: дѣтелью:NOUN,дѣтѣль
: ни:CCONJ,ни
: злобою:NOUN,зълоба
: дѣдьнею:ADJ,дѣдьнь
: ли:CCONJ,ли
: доброу:ADJ,добръ
: ли:CCONJ,ли
: злоу:NOUN,зълъ
: ли:CCONJ,ли
: нарочитоу:ADJ,нарочитъ
: ли:CCONJ,ли
: свѣтьлоу:ADJ,свѣтьлъ
: нъ:CCONJ,нъ
: аще:SCONJ,аще
: подобаеть:VERB,подобати
: дивьно:ADJ,дивьно
: решти:VERB,рещи
: тъ:PRON,тъ
: сьꙗеть:VERB,сиꙗти
: боле:ADJ,болє
: иже:PRON,иже
: отъ:ADP,отъ
: зълъ:ADJ,зълъ
: прадѣдъ:NOUN,прадѣдъ
: благъ:ADJ,благъ
: почьто:ADV,почьто
: на:ADP,на
: три:NUM,триє
: части:NOUN,чѧсть
: раздѣли:VERB,раздѣлити
: вьсꙗ:DET,вьсь
: хотѧ:VERB,хотѣти
: показати:NOUN,показати
: ꙗко:SCONJ,ꙗко
: ни:ADV,ни
: жизньмъ:NOUN,жизнь
: измѣнꙗщемъ:NOUN,измѣнити
: оуньше:VERB,оунии
: жидове:NOUN,жидъ
: нъ:CCONJ,нъ
: и:ADV,и
: владоуще:NOUN,власти
: и:CCONJ,и
: цⷭ҇рюєми:NOUN,цѣсарєвати
: и:CCONJ,и
: оумалꙗеми:VERB,оумалꙗти
: въ:ADP,въ
: тоижде:DET,тъжде
: злобѣ:NOUN,зълоба
: чсо:PRON,чьто
: ради:ADP,ради
: въ:ADP,въ
: прьвѣи:ADJ,прьвъ
: части:NOUN,чѧсть
: три:NUM,триє
: цⷭ҇рѧ:NOUN,цѣсарь
: преминоу:VERB,прѣминѫти
: въ:ADP,въ
: послѣднии:ADJ,послѣдьнии
: же:NOUN,же
: и:CCONJ,и
: въ:ADP,въ
: родъ:NOUN,родъ
: и:CCONJ,и
: положивъ:VERB,положити
: и:CCONJ,и
: четвьртаꙗ:ADJ,д҃ї
: издрече:VERB,изрещи
: три:NUM,триє
: оубо:ADV,оубо
: цⷭ҇рꙗ:NOUN,цѣсарь
: прѣминоу:VERB,прѣминѫти
: превелиꙗ:ADJ,прѣвелии
: ради:ADP,ради
: бещьстьꙗ:NOUN,бещьстиє
: ихъ:PRON,и
: охозиꙗ:NOUN,охозиꙗ
: бо:ADP,бо
: зѧть:NOUN,зѧть
: бѣ:NOUN,бꙑти
: ахаавовъ:ADJ,ахаавовъ
: цⷭ҇рѧ:NOUN,цѣсарь
: и҃злва:ADJ,издраилєвъ
: рьвьнитель:NOUN,рьвьнитель
: бечьстию:NOUN,бещьстиє
: єго:NOUN,и
: ꙗкоже:ADV,ꙗкоже
: рѣшꙗ:VERB,рещи
: и-асъ:PROPN,иоасъ
: прьвѣе:ADV,прьвѣє
: оугоди:VERB,оугодити
: б҃ви:ADJ,богъ
: послѣди:ADP,послѣди
: идолослꙋжитель:NOUN,идолослоужитель
: иже:PRON,иже
: и:ADV,и
: ємоу:NOUN,и
: сътворьшꙗ:VERB,сътворити
: азарию:PROPN,азариꙗ
: июдова:ADJ,иоадъ
: иереа:NOUN,иєреи
: повелѣ:VERB,повелѣти
: каменьемь:NOUN,камꙑ
: побити:VERB,побити
: и:CCONJ,и
: ꙗкоже:ADV,ꙗкоже
: пишеть:VERB,пьсати
: въ:ADP,въ
: книгахъ:NOUN,кънигꙑ
: и:CCONJ,и
: амесиꙗ:PROPN,амесиꙗ
: пьрвѣе:ADV,прьвѣє
: оугодивъ:VERB,оугодити
: б҃ви:ADJ,богъ
: плѣнъ:NOUN,плѣнити
: идꙋмѣю:NOUN,идоумѣи
: пожьре:VERB,пожрѣти
: коумиромъ:NOUN,коумиръ
: въ:ADP,въ
: плѣнѣ:NOUN,плѣнъ
: идоумеисцѣ:ADJ,идоумѣискъ
: ѧкоже:ADV,ꙗкоже
: пишеть:VERB,пьсати
: и:PRON,и
: о:ADP,о
: семь:PRON,сь
: въ:ADP,въ
: тѣхъжде:ADV,тъжде
: книгахъ:NOUN,кънигꙑ
: паралипоуменъ:NOUN,паралипоменъ
: сихъ:PRON,сь
: роди:VERB,ради
: три:NUM,триє
: цесарь:NOUN,цѣсарь
: рече:VERB,рещи
: африканъ:PROPN,африканъ
: въ:ADP,въ
: своихъ:DET,свои
: лѣтъписании:NOUN,лѣтописаниє
: ѧко:ADV,ꙗко
: за:ADP,за
: велье:ADJ,велии
: бещьстьє:NOUN,бещьстиє
: ихъ:PRON,и
: ѡстави:VERB,оставити
: ѧ:PRON,и
: евн҃глⷭ҇тъ:NOUN,евангелистъ
: ѡбычаи:NOUN,обꙑчаи
: бо:ADV,бо
: єсть:VERB,бꙑти
: книгамъ:NOUN,кънигꙑ
: ѡставлѧти:VERB,оставлꙗти
: не:ADV,не
: соущаѧ:VERB,бꙑти
: памꙗти:NOUN,памѧть
: ꙗкоже:SCONJ,ꙗкоже
: и:ADV,и
: заповѣдѣтель:NOUN,заповѣдѣтель
: мосии:PROPN,моси
: сътворилъ:VERB,сътворити
: въ:ADP,въ
: бл҃гословлениихъ:NOUN,благословлєниє
: оставль:VERB,оставити
: сꙋмеона:PROPN,сѵмеонъ
: и:CCONJ,и
: инъгда:ADV,инъгда
: мнози:ADJ,мъногъ
: инѣхъ:PRON,инъ
: си:PRON,сь
: оубо:ADV,оубо
: трии:NUM,триє
: цⷭ҇рꙗ:NOUN,цѣсарь
: сего:DET,сь
: ради:ADP,ради
: преминоу:NOUN,прѣминѫти
: ев҃нгелистъ:NOUN,евангелистъ
: въ:ADP,въ
: средьнии:ADJ,срѣдьнь
: части:NOUN,чѧсть
: въ:ADP,въ
: пⷪслѣдьнии:ADJ,послѣдьнь
: частии:NOUN,чѧсть
: два:NUM,дъва
: на:ADP,на
: десꙗте:NUM,десѧть
: рода:NOUN,родъ
: положивъ:VERB,положити
: на:ADP,на
: десꙗте:NUM,десѧть
: нарече:VERB,нарещи
: ꙗко:SCONJ,ꙗко
: лѣто:NOUN,лѣто
: плѣнениꙗ:NOUN,плѣнениє
: въ:ADP,въ
: мѣсто:NOUN,мѣсто
: въчьте:VERB,въчисти
: еще:ADV,єще
: же:ADV,же
: и:ADV,и
: самого:DET,самъ
: х҃а:PROPN,христосъ
: въмѣщаꙗ:VERB,въмѣщати
: его:PRON,и
: намъ:PRON,мꙑ
: подобаеть:VERB,подобати
: же:ADV,же
: и:ADV,и
: се:PRON,сь
: съмотрити:VERB,съмотрити
: намъ:PRON,мꙑ
: г҃лю:NOUN,глаголати
: же:ADP,же
: ѿкоудоу:NOUN,отъкѫдоу
: начатъ:VERB,начѧти
: и:PRON,и
: кде:ADV,къде
: коньча:VERB,коньчати
: ѿ:ADP,отъ
: аврама:PROPN,авраамъ
: до:ADP,до
: д҃вда:PROPN,давꙑдъ
: ѿ:CCONJ,отъ
: д҃вда:PROPN,давꙑдъ
: до:ADP,до
: преселениꙗ:NOUN,прѣселєниє
: и:CCONJ,и
: отъ:ADP,отъ
: него:PRON,и
: до:ADP,до
: самого:DET,самъ
: х҃а:PROPN,христосъ
: и:CCONJ,и
: начинаꙗ:VERB,начинати
: бо:CCONJ,бо
: оба:NUM,оба
: положи:VERB,положити
: по:ADP,по
: рꙗдоу:NOUN,рѧдъ
: же:ADV,же
: и:CCONJ,и
: аврама:PROPN,авраамъ
: и:CCONJ,и
: начинаѧ:VERB,начинати
: ѡба:NUM,оба
: помⷽ҇ноу:VERB,помѧнѫти
: зане:SCONJ,занє
: к:ADP,къ
: нима:PRON,и
: бѣшꙗ:AUX,бꙑти
: обѣтованиꙗ:NOUN,обѣтованиє
: сътворена:VERB,сътворити
: рекъ:VERB,рещи
: же:ADV,же
: всꙗ:DET,вьсь
: и:CCONJ,и
: коньчавъ:VERB,коньчати
: до:ADP,до
: иѡсифа:PROPN,иосифъ
: не:ADV,не
: преста:VERB,прѣстати
: до:ADP,до
: тоу:ADV,тоу
: нъ:CCONJ,нъ
: приложи:VERB,приложити
: моужа:NOUN,мѫжь
: мариина:ADJ,мариинъ
: показаꙗ:VERB,показати
: ꙗко:SCONJ,ꙗко
: сеꙗ:PRON,сь
: ради:ADP,ради
: и:ADV,и
: сего:DET,сь
: родочте:NOUN,родочисти
: веле:INTJ,веле
: же:NOUN,же
: да:SCONJ,да
: мꙋжа:VERB,мѫжь
: марїна:PROPN,мариинъ
: не:ADV,не
: мьнимъ:VERB,мьнѣти
: х҃а:PROPN,христосъ
: обьщимъ:VERB,обьщь
: закⷪ҇номъ:NOUN,законъ
: естьства:NOUN,єстьство
: нашего:DET,нашь
: въспоминаеть:VERB,въспоминати
: колика:PRON,коликъ
: бѣ:AUX,бꙑти
: ѿ:ADP,отъ
: аврама:PROPN,авраамъ
: до:ADP,до
: д҃҃да:PROPN,давꙑдъ
: до:ADP,до
: преселениꙗ:NOUN,прѣселєниє
: вавилоньска·:ADJ,вавилоньскъ
: показаѧ:VERB,показати
: ꙗко:SCONJ,ꙗко
: тъ:PRON,тъ
: есть:AUX,бꙑти
: хⷭ҇ъ:PROPN,христосъ
: егда:ADV,єгда
: бо:ADV,бо
: почьтеши:VERB,почисти
: и:CCONJ,и
: оувѣси:VERB,оувѣдѣти
: ꙗко:SCONJ,ꙗко
: тъ:PRON,тъ
: сь:PRON,сь
: есть:AUX,бꙑти
: ꙋдобь:NOUN,оудобь adv
: приимеши:VERB,приѩти
: и:CCONJ,и
: чоудо:NOUN,чоудо
: въ:ADP,въ
: рожьство:NOUN,рождьство
: ѧко:ADV,ꙗко
: тъ:PRON,тъ
: сь:PRON,сь
: есть:AUX,бꙑти
: егоже:PRON,иже
: и:ADV,и
: патриархъ:NOUN,патриархъ
: иꙗковъ:ADJ,иꙗковъ
: оскꙋдѣвъшемъ:VERB,оскѫдѣти
: кнѧземъ:NOUN,кънѧꙃь
: жидовьскомъ:ADJ,жидовьскъ
: ꙗко:SCONJ,ꙗко
: придеть:VERB,прити
: егоже:PRON,иже
: и:ADV,и
: прⷪ҇ркъ:NOUN,пророкъ
: данилъ:PROPN,даниилъ
: по:ADP,по
: тѣхъ:DET,тъ
: недѣлꙗхъ:NOUN,недѣлꙗ
: прорече:VERB,прорещи
: ѧко:SCONJ,ꙗко
: придеть:VERB,прити
: и:CCONJ,и
: аще:SCONJ,аще
: хощеть:VERB,хотѣти
: кто:PRON,къто
: та:DET,тъ
: лѣта:NOUN,лѣто
: почисти:NOUN,почисти
: числъмь:NOUN,число
: неⷣ҇льскомь:ADJ,недѣльскъ
: ꙗже:PRON,иже
: к:ADP,къ
: данилꙋ:PROPN,даниилъ
: англⷪ҇мъ:NOUN,ангелъ
: речена:VERB,рещи
: ѧже:PRON,иже
: ѿ:ADP,отъ
: създаниѧ:NOUN,съзьданиє
: градꙋ:NOUN,градъ
: сънити:VERB,сънити
: до:ADP,до
: рожьства:NOUN,рождьство
: его:PRON,и
: възьрить:VERB,възьрѣти
: та:DET,тъ
: лѣта:NOUN,лѣто
: сими:DET,сь
: съвѣщающа⁖:VERB,съвѣщати
: не:ADV,не
: рече:VERB,рещи
: же:ADV,же
: оброученѣ:VERB,обрѫчити
: д҃вци:ADJ,дѣвица
: нъ:CCONJ,нъ
: въ:ADP,въ
: прⷪстꙋ:NOUN,простъ
: оброученѣ:VERB,обрѫчити
: м҃три:NOUN,мати
: его:PRON,и
: да:SCONJ,да
: приѧто:ADV,приѩтъ
: бꙋдеть:VERB,бꙑти
: слово:NOUN,слово
: да:SCONJ,да
: бесѣдою:NOUN,бесѣда
: чаꙗ:VERB,чаꙗти
: послꙋшатель:NOUN,послоушатель
: нѣчто:PRON,нѣчьто
: издречениемь:NOUN,издрещи
: преславьнⷪ҇ю:ADJ,прѣславьнъ
: вещью:ADJ,вещь
: гл҃ща:VERB,глаголати
: ꙗко:SCONJ,ꙗко
: прежде:VERB,прѣжде adv
: даже:SCONJ,даже
: не:ADV,не
: въ:ADP,въ
: чревѣ:NOUN,чрѣво
: имоущи:VERB,имѣти
: ѿ:ADP,отъ
: д҃ха:NOUN,доухъ
: с҃та:ADJ,свѧтъ
: не:ADV,не
